No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
337,predikat,prèdikat,0.89,1,0.10,0.10,1.00
338,pre,pré,0.75,1,0.10,0.10,1.00
339,praho,prahô,0.83,1,0.10,0.10,1.00
340,potokopi,pôtôkopi,0.80,1,0.10,0.10,1.00
341,pot-pot,pôt-pôt,0.78,1,0.20,0.20,1.00
342,porselen,porselén,0.89,1,0.10,0.10,1.00
343,politeknik,politèknik,0.91,1,0.20,0.20,1.00
344,polem,polém,0.83,1,0.10,0.10,1.00
345,plok,plôk,0.80,1,0.30,0.30,1.00
346,planet,planèt,0.86,1,0.10,0.10,1.00
347,piyoh,piyôh,0.83,1,0.10,0.10,1.00
348,pipet,pipèt,0.83,1,0.10,0.10,1.00
349,pinto,pintô,0.83,1,0.10,0.10,1.00
350,pilem,pilém,0.83,1,0.10,0.10,1.00
351,pileh,piléh,0.83,1,0.30,0.30,1.00
352,pikeran,pikéran,0.88,1,0.20,0.20,1.00
353,pike,piké,0.80,1,0.10,0.10,1.00
354,picet,picét,0.83,1,0.10,0.10,1.00
355,phon-phon,phôn-phôn,0.82,1,0.10,0.10,1.00
356,phon,phôn,0.80,1,0.20,0.20,1.00
357,phet,phét,0.80,1,0.10,0.10,1.00
358,peuunyet,peuunyèt,0.89,1,0.20,0.20,1.00
359,peutundok,peutundôk,0.90,1,0.40,0.40,1.00
360,peutumpok-tumpok,peutumpôk-tumpôk,0.89,1,0.10,0.10,1.00
361,peutroh,peutrôh,0.88,1,1.00,1.00,1.00
362,peutho,peuthô,0.86,1,0.40,0.40,1.00
363,peuthee,peuthèe,0.88,1,0.50,0.50,1.00
364,peuteumbon,peuteumbôn,0.91,1,1.00,1.00,1.00
365,peutakot,peutakôt,0.89,1,0.40,0.40,1.00
366,peususon,peususôn,0.89,1,0.30,0.30,1.00
367,peuseupot,peuseupôt,0.90,1,0.70,0.70,1.00
368,peusambong,peusambông,0.91,1,1.00,1.00,1.00
369,peurisee,peurisèe,0.89,1,0.10,0.10,1.00
370,peureute,peureuté,0.89,1,0.90,0.90,1.00
371,peureuseh,peureuséh,0.90,1,1.00,1.00,1.00
372,peuraho,peurahô,0.88,1,1.00,1.00,1.00
373,peunyareng,peunyaréng,0.91,1,0.50,0.50,1.00
374,pileuh,piléuh,0.86,1,0.10,0.10,1.00
375,pilehan,piléhan,0.88,1,0.10,0.10,1.00
376,pijet,pijét,0.83,1,0.20,0.20,1.00
377,peutron,peutrôn,0.88,1,1.00,1.00,1.00
378,peuteuntee,peuteuntèe,0.91,1,0.20,0.20,1.00
379,peutenah,peuténah,0.89,1,0.30,0.30,1.00
380,peutaot,peutaôt,0.88,1,1.00,1.00,1.00
381,peutalo,peutalô,0.88,1,0.80,0.80,1.00
382,peutaklok,peutaklôk,0.90,1,0.10,0.10,1.00
383,peusare,peusaré,0.88,1,0.90,0.90,1.00
384,peuroh,peurôh,0.86,1,1.00,1.00,1.00
385,peurhot,peurhôt,0.88,1,0.30,0.30,1.00
386,peureusen,peureusèn,0.90,1,1.00,1.00,1.00
387,peureumen,peureumèn,0.90,1,1.00,1.00,1.00
388,peureulee,peureulèe,0.90,1,0.70,0.70,1.00
389,peureudee,peureudèe,0.90,1,0.80,0.80,1.00
390,peunyunteng,peunyunténg,0.92,1,0.40,0.40,1.00
391,peunteng,peunténg,0.89,1,1.00,1.00,1.00
392,peunileh,peuniléh,0.89,1,0.20,0.20,1.00
393,peungaseh,peungaséh,0.90,1,0.20,0.20,1.00
394,peuneng,peunèng,0.88,1,1.00,1.00,1.00
395,peulunco,peuluncô,0.89,1,0.20,0.20,1.00
396,peulicen,peulicén,0.89,1,0.20,0.20,1.00
397,peulampong,peulampông,0.91,1,1.00,1.00,1.00
398,meusilang-saleng,meusilang-saléng,0.94,1,0.10,0.10,1.00
399,meuseuliseh,meuseuliséh,0.92,1,0.10,0.10,1.00
400,meusare,meusaré,0.88,1,0.50,0.50,1.00
401,meusampeng,meusampéng,0.91,1,1.00,1.00,1.00
402,meusagop,meusagôp,0.89,1,0.40,0.40,1.00
403,meureuoh,meureuôh,0.89,1,1.00,1.00,1.00
404,meurdehka,meurdèhka,0.90,1,0.10,0.10,1.00
405,meuratoh,meuratôh,0.89,1,0.90,0.90,1.00
406,meuranggong,meuranggông,0.92,1,0.30,0.30,1.00
407,meurajalela,meurajalèla,0.92,1,0.10,0.10,1.00
408,meuracon,meuracôn,0.89,1,0.20,0.20,1.00
409,meupeungaroh,meupeungarôh,0.92,1,0.10,0.10,1.00
410,peanyaket,peanyakét,0.90,1,0.10,0.10,1.00
411,peunutoh,peunutôh,0.89,1,0.60,0.60,1.00
412,peunilek,peunilék,0.89,1,0.20,0.20,1.00
413,peungikot,peungikôt,0.90,1,0.10,0.10,1.00
414,peungaroh,peungarôh,0.90,1,0.30,0.30,1.00
415,peuneuyoh,peuneuyôh,0.90,1,0.70,0.70,1.00
416,peundukong,peundukông,0.91,1,0.70,0.70,1.00
417,peunajoh,peunajôh,0.89,1,1.00,1.00,1.00
418,peulindong,peulindông,0.91,1,0.90,0.90,1.00
419,peulhok,peulhôk,0.88,1,0.40,0.40,1.00
420,peuleugot,peuleugôt,0.90,1,0.50,0.50,1.00
421,peulet,peulét,0.86,2,0.90,0.90,1.00
422,peulaken,peulakén,0.89,1,0.40,0.40,1.00
423,peulagot,peulagôt,0.89,1,0.30,0.30,1.00
424,peulabohan,peulabôhan,0.91,1,0.60,0.60,1.00
425,peulabo,peulabô,0.88,1,0.70,0.70,1.00
426,peukurong,peukurông,0.90,1,0.90,0.90,1.00
427,peukupong,peukupông,0.90,1,1.00,1.00,1.00
428,peukeureuteng,peukeureuténg,0.93,1,0.40,0.40,1.00
429,peukeundo,peukeundô,0.90,1,0.20,0.20,1.00
430,peukeumbong,peukeumbông,0.92,1,0.70,0.70,1.00
431,peukeujot,peukeujôt,0.90,1,0.70,0.70,1.00
432,peukabeh,peukabèh,0.89,1,0.50,0.50,1.00
433,peujok,peujôk,0.86,1,0.20,0.20,1.00
434,peujeuoh,peujeuôh,0.89,1,0.80,0.80,1.00
435,peujayeh,peujayéh,0.89,1,0.40,0.40,1.00
436,peugule,peugulé,0.88,1,0.50,0.50,1.00
437,meuseuke,meuseuké,0.89,1,0.20,0.20,1.00
438,meusen,meusén,0.86,1,0.30,0.30,1.00
439,meusambong,meusambông,0.91,1,1.00,1.00,1.00
440,meusaeng,meusaéng,0.89,1,0.80,0.80,1.00
441,meuraong,meuraông,0.89,1,0.80,0.80,1.00
442,meurante,meuranté,0.89,1,0.90,0.90,1.00
443,meurandeh,meurandéh,0.90,1,0.10,0.10,1.00
444,meurabe,meurabé,0.88,1,0.50,0.50,1.00
445,meunurot,meunurôt,0.89,1,0.70,0.70,1.00
446,meumusoh,meumusôh,0.89,1,0.40,0.40,1.00
447,meulunco,meuluncô,0.89,1,0.30,0.30,1.00
448,meulonte,meulônté,0.80,1,0.20,0.20,1.00
449,meulindong,meulindông,0.91,1,0.80,0.80,1.00
450,meulambong,meulambông,0.91,1,1.00,1.00,1.00
451,meulaen,meulaèn,0.88,1,0.60,0.60,1.00
452,meukleh,meuklèh,0.88,1,0.40,0.40,1.00
453,peujampoh,peujampôh,0.90,1,0.20,0.20,1.00
454,peuile,peuilé,0.86,1,0.20,0.20,1.00
455,peuhubong,peuhubông,0.90,1,0.50,0.50,1.00
456,peugumbok,peugumbôk,0.90,1,0.10,0.10,1.00
457,peugleh,peugléh,0.88,1,0.80,0.80,1.00
458,peuget,peugèt,0.86,1,0.60,0.60,1.00
459,peugadee,peugadèe,0.89,1,0.20,0.20,1.00
460,peugabong,peugabông,0.90,1,0.30,0.30,1.00
461,peueleh,peuèlèh,0.78,1,0.80,0.80,1.00
462,peuek,peuék,0.83,1,0.90,0.90,1.00
463,peudeh,peudéh,0.86,1,0.40,0.40,1.00
464,peudamee,peudamèe,0.89,1,0.10,0.10,1.00
465,peucre-bre,peucré-bré,0.83,1,0.10,0.10,1.00
466,peucoh-coh,peucôh-côh,0.83,1,0.10,0.10,1.00
467,peucaye,peucayé,0.88,1,0.60,0.60,1.00
468,peuayon-ayon,peuayôn-ayôn,0.86,1,0.10,0.10,1.00
469,peuayon,peuayôn,0.88,1,0.70,0.70,1.00
470,peuaseng,peuaséng,0.89,1,0.30,0.30,1.00
471,peuase,peuasé,0.86,1,0.50,0.50,1.00
472,peuangen-angen,peuangèn-angèn,0.88,1,0.10,0.10,1.00
473,peuanco,peuancô,0.88,1,0.20,0.20,1.00
474,meunarek,meunarék,0.89,1,0.20,0.20,1.00
475,peuampon,peuampôn,0.89,1,0.70,0.70,1.00
476,peualoh,peualôh,0.88,1,1.00,1.00,1.00
477,peuagong,peuagông,0.89,1,0.80,0.80,1.00
478,peuabeh,peuabéh,0.88,1,0.40,0.40,1.00
479,petran,pètran,0.86,1,0.50,0.50,1.00
480,peteunah,péteunah,0.89,1,0.50,0.50,1.00
481,pesta,pèsta,0.83,1,0.20,0.20,1.00
482,pers'en,pers'èn,0.88,1,0.10,0.10,1.00
483,periskop,periskôp,0.89,1,0.10,0.10,1.00
484,peodal,pèodal,0.86,1,0.10,0.10,1.00
485,pentilasi,pèntilasi,0.90,1,0.10,0.10,1.00
486,peng,pèng,0.80,1,0.20,0.20,1.00
487,peh,péh,0.75,1,0.20,0.20,1.00
488,payong,payông,0.86,1,0.80,0.80,1.00
489,patoh,patôh,0.83,1,0.30,0.30,1.00
490,pateh,patôh,0.83,1,0.30,0.30,1.00
491,parlemen,parlemèn,0.89,1,0.20,0.20,1.00
492,parek,parék,0.83,1,0.20,0.20,1.00
493,pante,panté,0.83,1,0.40,0.40,1.00
494,pangulee,pangulèe,0.89,1,0.10,0.10,1.00
495,panggong,panggông,0.89,1,0.80,0.80,1.00
496,pancopet,pancopèt,0.89,1,0.10,0.10,1.00
497,palet,palét,0.83,1,0.40,0.40,1.00
498,paleng,palông,0.86,1,0.60,0.60,1.00
499,paleh,paléh,0.83,1,0.30,0.30,1.00
500,paket,pakèt,0.83,1,0.20,0.20,1.00
501,meulilet,meulilét,0.89,1,0.30,0.30,1.00
502,meulek,meulèk,0.86,1,0.30,0.30,1.00
503,meulapeh-lapeh,meulapéh-lapéh,0.88,1,0.10,0.10,1.00
504,meulakee,meulakèe,0.89,1,0.20,0.20,1.00
505,meulabo,meulabô,0.88,1,0.80,0.80,1.00
506,meuklep,meuklèp,0.88,1,0.20,0.20,1.00
507,meukilok-kilok,meukilôk-kilôk,0.88,1,0.30,0.30,1.00
508,meukeutupep,meukeutupèp,0.92,1,0.10,0.10,1.00
509,eunchok,eunchôk,0.88,1,0.10,0.10,1.00
510,pena,pèna,0.80,1,0.20,0.20,1.00
511,pe,pè,0.67,1,0.00,0.00,0.00
512,patot,patôt,0.83,1,0.20,0.20,1.00
513,patong,patông,0.86,1,0.70,0.70,1.00
514,patee,patèe,0.83,1,0.20,0.20,1.00
515,pasokan,pasôkan,0.88,1,0.10,0.10,1.00
516,paseh,pasèh,0.83,1,0.10,0.10,1.00
517,parot,parôt,0.83,1,0.30,0.30,1.00
518,pareksa,paréksa,0.88,1,0.20,0.20,1.00
519,panton,pantôn,0.86,2,0.60,0.60,1.00
520,pansion,pansiôn,0.88,1,0.60,0.60,1.00
521,pangkee,pangkèe,0.88,1,0.80,0.80,1.00
522,panggoi,panggôi,0.88,1,0.80,0.80,1.00
523,pangeran,pangèran,0.89,1,0.30,0.30,1.00
524,pamplet,pamplét,0.88,1,0.20,0.20,1.00
525,palong,palông,0.86,1,0.60,0.60,1.00
526,palem,palém,0.83,1,0.20,0.20,1.00
527,palee,palèe,0.83,1,0.50,0.50,1.00
528,pake,paké,0.80,1,0.20,0.20,1.00
529,pajoh,pajôh,0.83,1,0.10,0.10,1.00
530,pade,padé,0.80,1,0.20,0.20,1.00
531,pacok,pacôk,0.83,1,0.10,0.10,1.00
532,pabrek,pabrék,0.86,1,0.10,0.10,1.00
533,on,ôn,0.67,1,0.00,0.00,0.00
534,meukemah,meukèmah,0.89,1,0.40,0.40,1.00
535,meukawen,meukawén,0.89,1,0.20,0.20,1.00
536,meujuntee,meujuntèe,0.90,1,0.20,0.20,1.00
537,meuireng-ireng,meuiréng-iréng,0.88,1,0.20,0.20,1.00
538,meuikot,meuikôt,0.88,1,0.20,0.20,1.00
539,meuhoi,meuhôi,0.86,1,0.30,0.30,1.00
540,meugule,meugulé,0.88,1,0.50,0.50,1.00
541,mengreb,mengréb,0.88,1,0.10,0.10,1.00
542,meugeurupeng,meugeurupéng,0.92,1,0.10,0.10,1.00
543,meugampong,meugampông,0.91,1,1.00,1.00,1.00
544,meudrep-drep,meudrép-drép,0.86,1,0.10,0.10,1.00
545,meudesya,meudèsya,0.89,1,0.10,0.10,1.00
546,meucureh,meucuréh,0.89,1,0.10,0.10,1.00
547,meuceh,meucéh,0.86,1,0.20,0.20,1.00
548,meubeude,meubeudé,0.89,1,0.50,0.50,1.00
549,meuato,meuatô,0.86,1,0.70,0.70,1.00
550,meuase,meuasé,0.86,1,0.80,0.80,1.00
551,meuampong,meuampông,0.90,1,0.70,0.70,1.00
552,meuadee,meuadèe,0.88,1,0.60,0.60,1.00
553,meu'en-meu'en,meu'èn-meu'én,0.87,1,0.10,0.10,1.00
554,merek,mèrèk,0.71,1,0.10,0.10,1.00
555,men,mén,0.75,1,0.20,0.20,1.00
556,meja,mèja,0.80,1,0.20,0.20,1.00
557,meh,mèh,0.75,1,0.20,0.20,1.00
558,mbong,mbông,0.83,1,0.20,0.20,1.00
559,mateh,matéh,0.83,1,0.10,0.10,1.00
560,mate,maté,0.80,1,0.50,0.50,1.00
561,masineh,masinèh,0.88,1,0.10,0.10,1.00
562,orkeh,orkèh,0.83,1,0.10,0.10,1.00
563,ok,ôk,0.67,1,0.00,0.00,0.00
564,meujareng,meujaréng,0.90,1,0.20,0.20,1.00
565,meujanggot,meujanggôt,0.91,1,0.30,0.30,1.00
566,meujamee,meujamèe,0.89,1,0.20,0.20,1.00
567,meuikot-ikot,meuikôt-ikôt,0.86,1,0.20,0.20,1.00
568,meuhimpon,meuhimpôn,0.90,1,0.20,0.20,1.00
569,meugule-gule,meugulé-gulé,0.86,1,0.10,0.10,1.00
570,mengrop-grop,mengrôp-grôp,0.86,1,0.10,0.10,1.00
571,meugogo,meugôgô,0.78,1,0.40,0.40,1.00
572,meuglong,meuglông,0.89,1,0.40,0.40,1.00
573,meugandeng,meugandéng,0.91,1,0.40,0.40,1.00
574,meudroh,meudrôh,0.88,1,0.40,0.40,1.00
575,meudeungong,meudeungông,0.92,1,0.60,0.60,1.00
576,meucatet,meucatèt,0.89,1,0.10,0.10,1.00
577,meubulee,meubulèe,0.89,1,0.20,0.20,1.00
578,meuangkot,meuangkôt,0.90,1,0.50,0.50,1.00
579,meuampong-ampong,meuampông-ampông,0.89,1,0.10,0.10,1.00
580,meuabee,meuabèe,0.88,1,0.40,0.40,1.00
581,meu'en,meu'èn,0.86,1,0.20,0.20,1.00
582,mete,mètè,0.67,1,0.00,0.00,0.00
583,mentega,mentèga,0.88,1,0.20,0.20,1.00
584,melodi,mèlodi,0.86,1,0.10,0.10,1.00
585,Mee,Mèè,0.60,1,0.00,0.00,0.00
586,mee,mèe,0.75,1,0.10,0.10,1.00
587,mbon,mbôn,0.80,1,0.20,0.20,1.00
588,masen,masén,0.83,1,0.10,0.10,1.00
589,nyen,nyèn,0.80,1,0.20,0.20,1.00
590,naseb,naséb,0.83,1,0.20,0.20,1.00
591,musoh,musôh,0.83,1,0.30,0.30,1.00
592,musikben,musikbèn,0.89,1,0.10,0.10,1.00
593,mupalet,mupalét,0.88,1,0.40,0.40,1.00
594,munaph'ek,munaph'èk,0.90,1,0.20,0.20,1.00
595,mudek,mudèk,0.83,1,0.10,0.10,1.00
596,mubungkoh,mubungkôh,0.90,1,0.10,0.10,1.00
597,muboi-boi,mubôi-bôi,0.82,1,0.10,0.10,1.00
598,muble-ble,mublè-blé,0.82,1,0.10,0.10,1.00
599,mubeda,mubèda,0.86,1,0.20,0.20,1.00
600,mubalek,mubalék,0.88,1,0.30,0.30,1.00
601,mubae,mubèe,0.83,1,0.20,0.20,1.00
602,nyeh,nyèh,0.80,1,0.10,0.10,1.00
603,numboi,numbôi,0.86,1,0.10,0.10,1.00
604,neulet,neulét,0.86,1,0.30,0.30,1.00
605,nek,nèk,0.75,1,0.10,0.10,1.00
606,mustahe,mustahé,0.88,1,0.30,0.30,1.00
607,musem,musém,0.83,1,0.10,0.10,1.00
608,muphom,muphôm,0.86,1,0.10,0.10,1.00
609,mupake,mupaké,0.86,1,0.30,0.30,1.00
610,mungken,mungkén,0.88,1,0.30,0.30,1.00
611,mumee,mumèe,0.83,1,0.10,0.10,1.00
612,muleh,mulèh,0.83,1,0.10,0.10,1.00
613,mubulee,mubulèe,0.88,1,0.50,0.50,1.00
614,mublet-blet,mublét-blét,0.85,1,0.10,0.10,1.00
615,mubee,mubèe,0.83,1,0.20,0.20,1.00
616,mubareh,mubaréh,0.88,1,0.30,0.30,1.00
617,motel,motèl,0.83,1,0.10,0.10,1.00
618,modernisasi,modèrnisasi,0.92,1,0.10,0.10,1.00
619,milimete,milimètè,0.80,1,0.10,0.10,1.00
620,milek,milék,0.83,1,0.20,0.20,1.00
621,mewah,mèwah,0.83,1,0.20,0.20,1.00
622,meuurot,meuurôt,0.88,1,0.70,0.70,1.00
623,meuunyet,meuunyèt,0.89,1,0.20,0.20,1.00
624,meutumpok,meutumpôk,0.90,1,0.50,0.50,1.00
625,meutron,meutrôn,0.88,1,0.80,0.80,1.00
626,meuto-to,meutô-tô,0.80,1,0.20,0.20,1.00
627,meuthon,meuthôn,0.88,1,0.70,0.70,1.00
628,menteuot,menteuôt,0.89,1,0.10,0.10,1.00
629,meutapeh,meutapéh,0.89,1,0.30,0.30,1.00
630,meutanggoh,meutanggôh,0.91,1,0.60,0.60,1.00
631,mantel,mantèl,0.86,1,0.10,0.10,1.00
632,mando,mandô,0.83,1,0.10,0.10,1.00
633,mameh,maméh,0.83,1,0.20,0.20,1.00
634,malem,malém,0.83,1,0.30,0.30,1.00
635,malee,malèe,0.83,1,0.30,0.30,1.00
636,mabok,mabôk,0.83,1,0.30,0.30,1.00
637,lusen,lusèn,0.83,1,0.10,0.10,1.00
638,moderen,modèrèn,0.78,1,0.20,0.20,1.00
639,misee,misèe,0.83,1,0.10,0.10,1.00
640,minet,minèt,0.83,1,0.10,0.10,1.00
641,milion,miliôn,0.86,1,0.20,0.20,1.00
642,mikroskop,mikrôskôp,0.82,1,0.10,0.10,1.00
643,meuturot-turot,meuturôt-turôt,0.88,1,0.20,0.20,1.00
644,meutudong,meutudông,0.90,1,0.30,0.30,1.00
645,meutitep,meutitèp,0.89,1,0.10,0.10,1.00
646,meutaroh,meutarôh,0.89,1,0.60,0.60,1.00
647,meutaot,meutaôt,0.88,1,0.50,0.50,1.00
648,meusyedara,meusyédara,0.91,1,0.10,0.10,1.00
649,meusurot,meusurôt,0.89,1,0.60,0.60,1.00
650,Maret,Marèt,0.83,1,0.20,0.20,1.00
651,manyet,manyèt,0.86,1,0.10,0.10,1.00
652,mantega,mantèga,0.88,1,0.30,0.30,1.00
653,mangkong,mangkông,0.89,1,0.60,0.60,1.00
654,maneh,manéh,0.83,1,0.20,0.20,1.00
655,malot,malôt,0.83,1,0.10,0.10,1.00
